,log_return,log_return,log_return,open_gap_up,open_gap_up,open_gap_up,open_gap_down,open_gap_down,open_gap_down,log_return,shift,shift,shift,shift,shift,gap,gap
,AZN.L,HSBA.L,ULVR.L,AZN.L,HSBA.L,ULVR.L,AZN.L,HSBA.L,ULVR.L,^VIX,shift 0,shift 1,shift 2,shift 3,shift 4,open_gap_up,open_gap_down
Date,,,,,,,,,,,,,,,,,
2001-01-02,0.010990753737009102,-0.014523048196773672,0.014919122509482555,0,0,0,0,0,0,0.07116259424544258,-0.007711425290621646,,,,,0,0
2001-01-03,-0.008941937375661393,-0.006295884961504136,-0.007005207950507344,1,0,0,0,0,0,-0.10787610313307981,-0.02207289061923359,-0.007711425290621646,,,,0,0
2001-01-04,-0.05689575597701671,0.07671008140731764,-0.05635930406147322,0,0,0,0,0,1,0.023256822227633967,0.0238365864697959,-0.02207289061923359,-0.007711425290621646,,,0,0
2001-01-05,-0.018987912244691454,-0.0009742797819967694,-0.005719714128099569,0,0,0,0,0,1,0.03045563351431022,0.002018783408537344,0.0238365864697959,-0.02207289061923359,-0.007711425290621646,,0,0
2001-01-08,0.01380917955765353,-0.018069928481639904,0.002529098550457851,0,0,0,0,0,0,-0.004680696956387878,-0.007855754295205037,0.002018783408537344,0.0238365864697959,-0.02207289061923359,-0.007711425290621646,0,0
2001-01-09,-0.019040836586627134,0.000991530128354928,-0.01945582003686907,0,0,0,0,0,0,-0.05152547809969896,-0.01005099271230143,-0.007855754295205037,0.002018783408537344,0.0238365864697959,-0.02207289061923359,0,0
2001-01-10,0.004020986722405773,-0.005210684509993994,-0.016457453404342955,0,0,0,0,0,0,-0.05939476466451666,-0.004642780040836032,-0.01005099271230143,-0.007855754295205037,0.002018783408537344,0.0238365864697959,0,0
2001-01-11,-0.003612192297644984,-0.01108326588862097,0.002478255553627737,1,0,0,0,0,0,-0.0339273770932274,0.009035117625699501,-0.004642780040836032,-0.01005099271230143,-0.007855754295205037,0.002018783408537344,0,0
2001-01-12,-0.023372282078798625,0.016080777818973536,0.02051848023058757,1,0,0,0,1,1,-0.030080471922451456,0.008240836523002937,0.009035117625699501,-0.004642780040836032,-0.01005099271230143,-0.007855754295205037,0,0
2001-01-16,0.0018714915006987594,0.0010126867567646265,0.012150841659346644,0,0,0,0,0,0,-0.012188059694224524,-0.014200147660925283,0.008240836523002937,0.009035117625699501,-0.004642780040836032,-0.01005099271230143,0,0
2001-01-17,-0.006563549114003896,0.0110056420216256,-0.028419415710916218,0,0,0,0,0,0,0.02148879311162238,0.01858255371390649,-0.014200147660925283,0.008240836523002937,0.009035117625699501,-0.004642780040836032,0,0
2001-01-18,-0.017530329404996776,0.0,-0.020619337331164167,0,0,1,0,0,0,-0.046403254483148304,0.002014943529363478,0.01858255371390649,-0.014200147660925283,0.008240836523002937,0.009035117625699501,0,0
2001-01-19,-0.03922071315328127,0.005922976941044864,-0.029250650440172977,0,0,0,0,0,0,-0.016218924164747746,-9.66403103055828e-05,0.002014943529363478,0.01858255371390649,-0.014200147660925283,0.008240836523002937,0,0
2001-01-22,0.005319161477600247,0.013592416001038825,0.028457182116415555,1,0,0,0,0,0,-0.04293590656644126,0.003649171848499815,-9.66403103055828e-05,0.002014943529363478,0.01858255371390649,-0.014200147660925283,0,0
2001-01-23,-0.009852296443011594,0.02444407851379887,0.0044966350512161395,0,0,0,0,0,0,-0.06419076967624338,-0.0027798236570768372,0.003649171848499815,-9.66403103055828e-05,0.002014943529363478,0.01858255371390649,0,0
2001-01-24,-0.004278433381735184,0.03163051781877205,-0.024049219268346692,1,0,1,0,0,0,0.002272263833805655,0.00796531310968863,-0.0027798236570768372,0.003649171848499815,-9.66403103055828e-05,0.002014943529363478,0,0
2001-01-25,-0.013757177336279016,-0.0018433701365690172,-0.011748892489082787,0,0,0,0,0,0,0.008873121922136382,-0.001405719830123021,0.00796531310968863,-0.0027798236570768372,0.003649171848499815,-9.66403103055828e-05,0,0
2001-01-26,0.008230499136515444,-0.009328360944233853,0.015920783455283243,0,0,1,0,0,0,0.002217753709669291,0.006167352727632381,-0.001405719830123021,0.00796531310968863,-0.0027798236570768372,0.003649171848499815,0,0
